Title,Color,Description,Brand,Pictures,Price,Sale Price,Precent Off,Sizes,WebID
"Men's Custom Fit Ivy Polo, Created for Macy's",Classic Navy,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/5/optimized/45505_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15348661_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/3/optimized/15348663_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348666_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Navy Blaze Heather,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/0/optimized/1211750_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/15348628_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/9/optimized/15348629_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348630_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Malaga Blue Heather,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/8/optimized/8816348_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348640_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15348641_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15348642_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Medium Chambray Heather,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/0/optimized/3611780_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/3611762_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348596_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348600_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Tommy Black,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/8/optimized/76578_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/15348498_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348500_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348506_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Medium Grey Heather,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/2/optimized/349152_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/7/optimized/15348467_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/9/optimized/15348469_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348470_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Pebble Pink,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/3/optimized/8816343_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15348736_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/7/optimized/15348737_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/15348738_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
"Men's Custom Fit Ivy Polo, Created for Macy's",Classic White,A classic in every sense of the word. This polo from Tommy Hilfiger is a casual wardrobe must-have.,Tommy Hilfiger,https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15349311_fpx.tif https://slimages.macysassets.com/is/image/MCY/swatches/6/optimized/117676_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/0/optimized/15348530_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/15348531_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/2/optimized/15348532_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/8/optimized/11971648_fpx.tif,49.5,39.99,19,S/M/L/XL/2XL,5005646
Men's Custom-Fit Logan Polo,Bright White,"Introducing a new denim lifestyle by Tommy Hilfiger Denim, this all cotton polo features a slim-fit and contrast trim at sleeves and collar.",Tommy Hilfiger Denim,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/8892692_fpx.tif https://slimages.macysassets.com/is/image/MCY/products/1/optimized/8892691_fpx.tif,59.5,39.99,32,S/M/L/XL/2XL,6210691
Men's Custom-Fit Logan Polo,Grey Heather,"Introducing a new denim lifestyle by Tommy Hilfiger Denim, this all cotton polo features a slim-fit and contrast trim at sleeves and collar.",Tommy Hilfiger Denim,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/8892694_fpx.tif,59.5,39.99,32,S/M/L/XL/2XL,6210691
Men's Custom-Fit Logan Polo,Navy,"Introducing a new denim lifestyle by Tommy Hilfiger Denim, this all cotton polo features a slim-fit and contrast trim at sleeves and collar.",Tommy Hilfiger Denim,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/8892706_fpx.tif,59.5,39.99,32,S/M/L/XL/2XL,6210691
Men's Custom-Fit Logan Polo,Red,"Introducing a new denim lifestyle by Tommy Hilfiger Denim, this all cotton polo features a slim-fit and contrast trim at sleeves and collar.",Tommy Hilfiger Denim,https://slimages.macysassets.com/is/image/MCY/products/9/optimized/8892709_fpx.tif,59.5,39.99,32,S/M/L/XL/2XL,6210691
